[16:23:50] TfrmMain.GridData: No MCI device open
[16:24:10] TfrmMain.GridData: No MCI device open
[16:24:30] TfrmMain.GridData: No MCI device open
[16:24:50] TfrmMain.GridData: No MCI device open
[16:25:10] TfrmMain.GridData: No MCI device open
[16:25:30] TfrmMain.GridData: No MCI device open
[16:25:50] TfrmMain.GridData: No MCI device open
[16:26:10] TfrmMain.GridData: No MCI device open
[16:26:30] TfrmMain.GridData: No MCI device open
[16:26:50] TfrmMain.GridData: No MCI device open
[16:27:10] TfrmMain.GridData: No MCI device open
[16:27:30] TfrmMain.GridData: No MCI device open
[16:27:50] TfrmMain.GridData: No MCI device open
[16:28:10] TfrmMain.GridData: No MCI device open
[16:28:30] TfrmMain.GridData: No MCI device open
[16:28:50] TfrmMain.GridData: No MCI device open
[16:29:10] TfrmMain.GridData: No MCI device open
[16:29:30] TfrmMain.GridData: No MCI device open
[16:29:50] TfrmMain.GridData: No MCI device open
[16:30:10] TfrmMain.GridData: No MCI device open
[16:30:30] TfrmMain.GridData: No MCI device open
[16:30:50] TfrmMain.GridData: No MCI device open
[16:31:10] TfrmMain.GridData: No MCI device open
[16:31:30] TfrmMain.GridData: No MCI device open
[16:31:50] TfrmMain.GridData: No MCI device open
[16:32:10] TfrmMain.GridData: No MCI device open
[16:32:30] TfrmMain.GridData: No MCI device open
[16:32:50] TfrmMain.GridData: No MCI device open
[16:33:10] TfrmMain.GridData: No MCI device open
[16:33:30] TfrmMain.GridData: No MCI device open
[16:33:50] TfrmMain.GridData: No MCI device open
[16:34:10] TfrmMain.GridData: No MCI device open
[16:34:30] TfrmMain.GridData: No MCI device open
[16:34:50] TfrmMain.GridData: No MCI device open
[16:35:10] TfrmMain.GridData: No MCI device open
[16:35:30] TfrmMain.GridData: No MCI device open
[16:35:50] TfrmMain.GridData: No MCI device open
[16:36:10] TfrmMain.GridData: No MCI device open
[16:36:30] TfrmMain.GridData: No MCI device open
[16:36:50] TfrmMain.GridData: No MCI device open
[16:37:10] TfrmMain.GridData: No MCI device open
[16:37:30] TfrmMain.GridData: No MCI device open
[16:37:50] TfrmMain.GridData: No MCI device open
[16:38:10] TfrmMain.GridData: No MCI device open
[16:38:30] TfrmMain.GridData: No MCI device open
[16:38:50] TfrmMain.GridData: No MCI device open
[16:39:10] TfrmMain.GridData: No MCI device open
[16:39:30] TfrmMain.GridData: No MCI device open
[16:39:50] TfrmMain.GridData: No MCI device open
[16:40:10] TfrmMain.GridData: No MCI device open
[16:40:30] TfrmMain.GridData: No MCI device open
[16:40:50] TfrmMain.GridData: No MCI device open
[16:41:10] TfrmMain.GridData: No MCI device open
[16:41:30] TfrmMain.GridData: No MCI device open
[16:41:50] TfrmMain.GridData: No MCI device open
[16:42:10] TfrmMain.GridData: No MCI device open
[16:42:30] TfrmMain.GridData: No MCI device open
[16:42:50] TfrmMain.GridData: No MCI device open
[16:43:10] TfrmMain.GridData: No MCI device open
[16:43:30] TfrmMain.GridData: No MCI device open
[16:43:50] TfrmMain.GridData: No MCI device open
[16:44:10] TfrmMain.GridData: No MCI device open
[16:44:30] TfrmMain.GridData: No MCI device open
[16:44:50] TfrmMain.GridData: No MCI device open
[16:45:10] TfrmMain.GridData: No MCI device open
[16:45:30] TfrmMain.GridData: No MCI device open
[16:45:50] TfrmMain.GridData: No MCI device open
[16:46:10] TfrmMain.GridData: No MCI device open
[16:46:30] TfrmMain.GridData: No MCI device open
